ID    | Name                                     | Gallery    | Main Image     
--------------------------------------------------------------------------------
2     | Quần Jean                              | 1          | Yes            
3     | Áo Thun Basic Trắng Premium           | 2          | Yes            
4     | Áo Thun Oversize Đen                   | 2          | Yes            
5     | Áo Thun Polo Nam Xanh Navy              | 2          | Yes            
6     | Áo Thun Graphic Print                   | 2          | Yes            
7     | Váy Hoa Nhí Vintage                    | 2          | Yes            
8     | Đầm Suông Công Sở                 | 2          | Yes            
9     | Váy Maxi Dạ Hội                     | 2          | Yes            
10    | Đầm Babydoll Hồng Pastel            | 2          | Yes            
11    | Quần Jeans Skinny Đen                 | 2          | Yes            
12    | Quần Jeans Baggy Xanh Nhạt           | 2          | Yes            
13    | Quần Jeans Rách Gối                 | 2          | Yes            
14    | Quần Jeans Ống Loe Vintage           | 2          | Yes            
15    | Áo Khoác Bomber Đen                   | 2          | Yes            
16    | Áo Khoác Jeans Xanh                    | 2          | Yes            
17    | Áo Khoác Hoodie Zip                    | 2          | Yes            
18    | Áo Khoác Cardigan Len                  | 2          | Yes            
19    | Túi Tote Canvas Trơn                   | 2          | Yes            
20    | Mũ Lưỡi Trai Snapback                | 2          | Yes            
21    | Thắt Lưng Da Cao Cấp                | 2          | Yes            
22    | Kính Mát Aviator                       | 2          | Yes            
